axis,video,video_name,overall_M,overall_SD,Min_M,Min_SD,Mild_M,Mild_SD,ModSev_M,ModSev_SD,H,p_kruskal,sig_kw,direction,rho_phq,p_spearman
yaw,V1,Abandoned Buildings,31.191,8.771,32.578,9.392,29.824,8.7,29.773,5.599,0.832,0.6597,ns,↓ Mod-Sev < Min,-0.046,0.7778
yaw,V2,Evening at Beach,28.141,7.733,28.207,8.499,26.58,7.107,30.316,5.177,2.2985,0.3169,ns,↑ Mod-Sev ≥ Min,0.0463,0.7765
yaw,V3,Campus,29.725,9.386,31.316,9.066,28.843,10.152,27.072,7.407,1.044,0.5933,ns,↓ Mod-Sev < Min,-0.065,0.6902
yaw,V4,The Nun (Horror),17.919,8.282,18.67,8.839,15.394,7.548,19.828,6.246,2.1259,0.3454,ns,↑ Mod-Sev ≥ Min,0.0161,0.9213
yaw,V5,Tahiti Surf,25.945,9.641,28.312,10.244,23.19,8.73,24.161,6.918,2.1376,0.3434,ns,↓ Mod-Sev < Min,-0.1138,0.4844
pitch,V1,Abandoned Buildings,13.748,4.305,13.545,4.059,13.265,3.871,14.98,4.972,0.4868,0.7839,ns,↑ Mod-Sev ≥ Min,0.1497,0.3564
pitch,V2,Evening at Beach,8.401,3.17,8.498,3.631,7.647,2.727,9.288,1.796,1.7805,0.4106,ns,↑ Mod-Sev ≥ Min,0.0871,0.5931
pitch,V3,Campus,9.501,3.465,9.569,2.899,8.718,3.814,10.505,3.709,0.7454,0.6889,ns,↑ Mod-Sev ≥ Min,0.0156,0.924
pitch,V4,The Nun (Horror),9.893,5.132,10.059,5.324,7.979,4.082,12.35,4.575,3.6784,0.1589,ns,↑ Mod-Sev ≥ Min,0.0635,0.6971
pitch,V5,Tahiti Surf,9.416,3.86,10.089,4.314,8.451,3.294,9.18,2.692,1.149,0.563,ns,↓ Mod-Sev < Min,-0.0755,0.6434
roll,V1,Abandoned Buildings,7.631,3.063,8.01,3.666,7.462,2.523,6.935,1.304,0.172,0.9176,ns,↓ Mod-Sev < Min,0.0232,0.8869
roll,V2,Evening at Beach,5.378,2.104,5.422,2.018,4.691,1.302,6.301,2.7,1.6296,0.4427,ns,↑ Mod-Sev ≥ Min,0.0633,0.6979
roll,V3,Campus,5.992,2.108,6.433,2.169,5.478,2.145,5.66,1.413,1.3376,0.5123,ns,↓ Mod-Sev < Min,-0.0922,0.5715
roll,V4,The Nun (Horror),4.18,1.934,4.516,2.281,3.401,1.37,4.51,1.056,2.5063,0.2856,ns,↓ Mod-Sev < Min,0.0054,0.9737
roll,V5,Tahiti Surf,5.175,2.148,5.849,2.518,4.311,1.483,4.786,0.972,2.6173,0.2702,ns,↓ Mod-Sev < Min,-0.1339,0.4101
total,V1,Abandoned Buildings,39.081,10.839,40.338,11.499,37.448,10.593,38.387,8.087,0.1903,0.9092,ns,↓ Mod-Sev < Min,0.0172,0.9162
total,V2,Evening at Beach,32.752,9.092,32.877,10.079,30.68,8.073,35.547,6.084,1.8002,0.4065,ns,↑ Mod-Sev ≥ Min,0.0471,0.773
total,V3,Campus,34.875,10.475,36.556,9.991,33.395,11.33,32.892,8.86,0.8518,0.6532,ns,↓ Mod-Sev < Min,-0.0601,0.7126
total,V4,The Nun (Horror),24.169,11.076,25.144,11.739,20.33,9.733,27.488,8.717,2.8246,0.2436,ns,↑ Mod-Sev ≥ Min,0.0108,0.9475
total,V5,Tahiti Surf,31.03,11.305,33.782,12.204,27.739,9.893,29.088,8.062,2.2466,0.3252,ns,↓ Mod-Sev < Min,-0.1281,0.4307
